duration,rtt,proto,tag,rtag,pkt,oct,rpkt,roct,malicious
24.906,0.0,17,0,0,16,1952,0,0,True
19.78,0.0,17,0,0,10,1220,0,0,True
23.833,0.0,17,0,0,12,1464,0,0,True
22.311,0.0,17,0,0,10,1220,0,0,True
24.898,0.0,17,0,0,9,1098,0,0,True
23.411,0.0,17,0,0,12,1464,0,0,True
22.201,0.0,17,0,0,6,732,0,0,True
23.458,0.0,17,0,0,12,1464,0,0,True
18.421,0.0,17,0,0,10,1220,0,0,True
24.759,0.0,17,0,0,10,1220,0,0,True
21.195,0.0,17,0,0,12,1464,0,0,True
21.162,0.0,17,0,0,6,732,0,0,True
24.791,0.0,17,0,0,11,1342,0,0,True
24.446,0.0,17,0,0,16,1952,0,0,True
23.212,0.0,17,0,0,10,1220,0,0,True
22.454,0.0,17,0,0,6,732,0,0,True
14.354,0.0,17,0,0,6,732,0,0,True
25.188,0.0,17,0,0,21,2562,0,0,True
24.594,0.0,17,0,0,8,976,0,0,True
25.314,0.0,17,0,0,11,1342,0,0,True
21.837,0.0,17,0,0,13,1586,0,0,True
22.233,0.0,17,0,0,8,976,0,0,True
21.262,0.0,17,0,0,13,1586,0,0,True
23.869,0.0,17,0,0,10,1220,0,0,True
22.304,0.0,17,0,0,10,1220,0,0,True
23.858,0.0,17,0,0,17,2074,0,0,True
25.488,0.0,17,0,0,9,1098,0,0,True
23.097,0.0,17,0,0,14,1708,0,0,True
23.042,0.0,17,0,0,11,1342,0,0,True
19.594,0.0,17,0,0,7,854,0,0,True
25.437,0.0,17,0,0,14,1708,0,0,True
21.977,0.0,17,0,0,9,1098,0,0,True
24.994,0.0,17,0,0,18,2196,0,0,True
23.179,0.0,17,0,0,9,1098,0,0,True
14.65,0.0,17,0,0,9,1098,0,0,True
24.406,0.0,17,0,0,13,1586,0,0,True
16.369,0.0,17,0,0,8,976,0,0,True
21.334,0.0,17,0,0,5,610,0,0,True
24.256,0.0,17,0,0,10,1220,0,0,True
22.208,0.0,17,0,0,12,1464,0,0,True
21.501,0.0,17,0,0,10,1220,0,0,True
24.531,0.0,17,0,0,10,1220,0,0,True
25.188,0.0,17,0,0,9,1098,0,0,True
23.996,0.0,17,0,0,12,1464,0,0,True
24.386,0.0,17,0,0,11,1342,0,0,True
19.137,0.0,17,0,0,11,1342,0,0,True
24.82,0.0,17,0,0,10,1220,0,0,True
25.572,0.0,17,0,0,15,1830,0,0,True
19.601,0.0,17,0,0,13,1586,0,0,True
25.676,0.0,17,0,0,13,1586,0,0,True
23.13,0.0,17,0,0,13,1586,0,0,True
24.63,0.0,17,0,0,15,1830,0,0,True
24.489,0.0,17,0,0,15,1830,0,0,True
24.153,0.0,17,0,0,10,1220,0,0,True
19.387,0.0,17,0,0,10,1220,0,0,True
24.988,0.0,17,0,0,12,1464,0,0,True
19.28,0.0,17,0,0,11,1342,0,0,True
13.27,0.0,17,0,0,5,610,0,0,True
24.727,0.0,17,0,0,9,1098,0,0,True
25.859,0.0,17,0,0,17,2074,0,0,True
21.97,0.0,17,0,0,14,1708,0,0,True
24.908,0.0,17,0,0,14,1708,0,0,True
24.599,0.0,17,0,0,15,1830,0,0,True
25.743,0.0,17,0,0,20,2440,0,0,True
25.659,0.0,17,0,0,7,854,0,0,True
25.114,0.0,17,0,0,23,2806,0,0,True
22.775,0.0,17,0,0,9,1098,0,0,True
24.987,0.0,17,0,0,11,1342,0,0,True
20.708,0.0,17,0,0,7,854,0,0,True
21.737,0.0,17,0,0,12,1464,0,0,True
25.744,0.0,17,0,0,16,1952,0,0,True
26.013,0.0,17,0,0,13,1586,0,0,True
23.517,0.0,17,0,0,9,1098,0,0,True
25.606,0.0,17,0,0,16,1952,0,0,True
24.146,0.0,17,0,0,15,1830,0,0,True
22.939,0.0,17,0,0,15,1830,0,0,True
22.902,0.0,17,0,0,12,1464,0,0,True
26.112,0.0,17,0,0,15,1830,0,0,True
22.761,0.0,17,0,0,11,1342,0,0,True
25.158,0.0,17,0,0,14,1708,0,0,True
7.251,0.0,17,0,0,3,366,0,0,True
25.559,0.0,17,0,0,13,1586,0,0,True
24.929,0.0,17,0,0,4,488,0,0,True
24.525,0.0,17,0,0,10,1220,0,0,True
26.073,0.0,17,0,0,8,976,0,0,True
23.658,0.0,17,0,0,7,854,0,0,True
26.315,0.0,17,0,0,9,1098,0,0,True
22.687,0.0,17,0,0,13,1586,0,0,True
24.25,0.0,17,0,0,10,1220,0,0,True
19.399,0.0,17,0,0,9,1098,0,0,True
26.314,0.0,17,0,0,14,1708,0,0,True
23.742,0.0,17,0,0,12,1464,0,0,True
19.238,0.0,17,0,0,8,976,0,0,True
24.556,0.0,17,0,0,10,1220,0,0,True
24.805,0.0,17,0,0,16,1952,0,0,True
24.929,0.0,17,0,0,8,976,0,0,True
25.463,0.0,17,0,0,14,1708,0,0,True
23.618,0.0,17,0,0,9,1098,0,0,True
3.786,0.0,17,0,0,3,366,0,0,True
25.37,0.0,17,0,0,20,2440,0,0,True
24.762,0.0,17,0,0,7,854,0,0,True
26.235,0.0,17,0,0,10,1220,0,0,True
24.234,0.0,17,0,0,12,1464,0,0,True
24.189,0.0,17,0,0,14,1708,0,0,True
26.371,0.0,17,0,0,8,976,0,0,True
25.96,0.0,17,0,0,12,1464,0,0,True
23.621,0.0,17,0,0,10,1220,0,0,True
24.98,0.0,17,0,0,11,1342,0,0,True
25.526,0.0,17,0,0,18,2196,0,0,True
25.965,0.0,17,0,0,11,1342,0,0,True
24.091,0.0,17,0,0,12,1464,0,0,True
26.176,0.0,17,0,0,14,1708,0,0,True
25.396,0.0,17,0,0,14,1708,0,0,True
21.931,0.0,17,0,0,10,1220,0,0,True
23.295,0.0,17,0,0,12,1464,0,0,True
20.285,0.0,17,0,0,12,1464,0,0,True
25.591,0.0,17,0,0,10,1220,0,0,True
